t,index,i,j,sector,length
438,92859,272,107,9,353
439,88059,258,81,8,355
440,88739,79,260,8,355
441,61740,19,181,6,351
442,90117,93,264,8,360
443,94222,276,106,9,354
444,92177,107,270,8,353
445,60717,19,178,5,351
446,88058,80,258,8,355
447,90130,264,106,8,354
448,90807,101,266,8,357
449,60374,177,17,5,353
450,91836,107,269,8,353
451,91479,268,91,8,360
452,87386,256,90,8,356
453,55936,12,164,5,351
454,92508,271,97,9,359
455,92163,93,270,8,360
456,54560,0,160,5,351
457,93198,105,273,9,354
458,88400,81,259,8,355
459,56960,13,167,5,352
460,89080,261,79,8,355
461,61399,180,19,6,351
462,91484,268,96,8,360
463,93539,274,105,9,354
464,58667,172,15,5,353
465,89444,102,262,8,356
466,59692,175,17,5,353
467,89099,261,98,8,357
468,92857,105,272,9,354
469,54907,161,6,5,351
470,92504,93,271,9,360
471,88739,260,79,8,355
472,87720,83,257,8,355
473,122571,359,161,11,351
474,90809,266,103,8,356
475,91836,269,107,8,353
476,89420,262,78,8,356
477,54902,161,1,5,351
478,87719,82,257,8,355
479,94222,106,276,9,354
480,90468,103,265,8,356
481,91481,268,93,8,360
482,121891,161,357,11,351
483,91816,87,269,8,360
484,88738,78,260,8,355
485,90457,92,265,8,360
486,91495,268,107,8,353
487,90124,100,264,8,358
488,89079,261,78,8,355
489,92853,272,101,9,357
490,91475,87,268,8,360
491,91150,267,103,8,356
492,92502,271,91,9,360
493,91822,269,93,8,360
494,89781,263,98,8,358
495,89093,92,261,8,358
496,91154,107,267,8,353
497,92851,272,99,9,358
498,88738,260,78,8,355
499,90122,264,98,8,359
500,91140,267,93,8,360
